Product Name,Negative,Neutral,Positive,Total Reviews,Positive %,Negative %,Neutral %,Overall Sentiment
"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",8,1,1,10,10.0,80.0,10.0,Not Liked
Next Queen-1500 Liter Watt Stainless Steel Electric Kettle,0,0,10,10,100.0,0.0,0.0,Liked
"Nut Toppers Arabian Dates, 800 g (400g x 2)",8,0,2,10,20.0,80.0,0.0,Not Liked
"Nutriley Muscle Gainer Capsules, Mass Gainer, Increase Muscle Mass & Strength, 60 Capsules",0,0,10,10,100.0,0.0,0.0,Liked
PRd PU Tan Casual regular Wallet,5,3,2,10,20.0,50.0,30.0,Mixed Opinion
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),4,4,2,10,20.0,40.0,40.0,Mixed Opinion
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",7,0,3,10,30.0,70.0,0.0,Not Liked
SHARUJA Analog Electric Tester,4,0,6,10,60.0,40.0,0.0,Liked
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),0,2,8,10,80.0,0.0,20.0,Liked
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",0,0,10,10,100.0,0.0,0.0,Liked
Shiv Trishul Damru Gold-plated Locket with Rudraksha Mala,6,0,4,10,40.0,60.0,0.0,Not Liked
"Stainless Steel Vestire Manual Hand Blender for Egg & Cream Beater, Milkshake, Lassi, Butter Milk Mixer",5,2,3,10,30.0,50.0,20.0,Mixed Opinion
Tantra Fluke Pro Bluetooth Receiver 4.1 Bluetooth Kit for Car (Black),1,0,9,10,90.0,10.0,0.0,Liked
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,1,0,9,10,90.0,10.0,0.0,Liked
UNICAL Shock Resistant Cable Protector for Smartphones and Tablets ( Multicolor ),3,0,7,10,70.0,30.0,0.0,Liked
Unique Retail 7 in 1 Electric Soldering/Welding Iron Kit For DIY/Crafts Tools Hardware,6,2,2,10,20.0,60.0,20.0,Not Liked
chopwell Red Plastic Manual Kitchen Chopper 450 ml ( Pack of 1 ),5,2,3,10,30.0,50.0,20.0,Mixed Opinion
dust n shine Multicolor Stainless Steel Steal scrubber pack of 12 ( Set of 12 ),9,0,1,10,10.0,90.0,0.0,Not Liked
flyfot Kitchenware Plastic Multipurpose Rice Wash Bowl with Handle for Rice V Plastic Strainers 1 Pc,4,4,2,10,20.0,40.0,40.0,Mixed Opinion
sweat BELT hot shapers hot shaper sauna tummy trimmer slimming belt,0,0,10,10,100.0,0.0,0.0,Liked
